ID;name;region;material;pricePerUnit;currency_code;leadTime;rating;category;contactEmail;contactPhone;address;isActive
9000;Higgins, Hendricks and Wilson;NA;Scaffolding;8405.26;USD;36;3.55;construction;contact@higginshendricksandwilson.com;+1-555-000-0000;NA Office;true
9001;Griffith, Campbell and Lopez;MEA;Glass Panels;13116.85;USD;23;2.85;construction;contact@griffithcampbellandlopez.com;+1-555-000-0000;MEA Office;true
9002;Garcia and Sons;MEA;Concrete Mixers;1403.04;USD;18;4.65;construction;contact@garciaandsons.com;+1-555-000-0000;MEA Office;true
9003;Green-Daniel;MEA;Cement Bags;4526.54;USD;39;4.15;construction;contact@greendaniel.com;+1-555-000-0000;MEA Office;true
9004;Fowler-Underwood;NA;Cement Bags;12153.32;USD;30;4.45;construction;contact@fowlerunderwood.com;+1-555-000-0000;NA Office;true
9005;Obrien-Gutierrez;APAC;Concrete Mixers;8832.99;USD;5;4.65;construction;contact@obriengutierrez.com;+1-555-000-0000;APAC Office;true
9006;Contreras Ltd;MEA;Concrete Mixers;5764.06;USD;37;3.25;construction;contact@contrerasltd.com;+1-555-000-0000;MEA Office;true
9007;Aguirre-Cantrell;LATAM;Glass Panels;6133.55;USD;31;3.75;construction;contact@aguirrecantrell.com;+1-555-000-0000;LATAM Office;true
9008;Higgins LLC;APAC;Glass Panels;9772.01;USD;15;4.05;construction;contact@higginsllc.com;+1-555-000-0000;APAC Office;true
9009;Martinez, Smith and White;MEA;Glass Panels;3799.38;USD;18;4.95;construction;contact@martinezsmithandwhite.com;+1-555-000-0000;MEA Office;true
9010;Gutierrez, Quinn and Allen;EU;Cement Bags;11681.54;USD;14;3.95;construction;contact@gutierrezquinnandallen.com;+1-555-000-0000;EU Office;true
9011;Thompson, Sutton and Jones;LATAM;Glass Panels;10340.64;USD;35;3.95;construction;contact@thompsonsuttonandjones.com;+1-555-000-0000;LATAM Office;true
9012;May Inc;MEA;Concrete Mixers;1252.16;USD;5;2.85;construction;contact@mayinc.com;+1-555-000-0000;MEA Office;true
9013;Bennett Ltd;MEA;Concrete Mixers;7116.71;USD;33;3.45;construction;contact@bennettltd.com;+1-555-000-0000;MEA Office;true
9014;Thompson-Morris;LATAM;Concrete Mixers;753.3;USD;21;3.85;construction;contact@thompsonmorris.com;+1-555-000-0000;LATAM Office;true
9015;Carr Inc;MEA;Cement Bags;8382.88;USD;5;2.85;construction;contact@carrinc.com;+1-555-000-0000;MEA Office;true
9016;Elliott Ltd;NA;Cement Bags;14647.73;USD;6;4.15;construction;contact@elliottltd.com;+1-555-000-0000;NA Office;true
9017;Newton, Moore and Perkins;APAC;Glass Panels;6587.79;USD;17;3.25;construction;contact@newtonmooreandperkins.com;+1-555-000-0000;APAC Office;true
9018;Jones PLC;APAC;Steel Rebars;2258.44;USD;37;4.05;construction;contact@jonesplc.com;+1-555-000-0000;APAC Office;true
9019;Rodriguez, Mckinney and Stewart;LATAM;Cement Bags;3365.79;USD;29;2.55;construction;contact@rodriguezmckinneyandstewart.com;+1-555-000-0000;LATAM Office;true
9020;Mckee, Butler and Morgan;MEA;Scaffolding;3467.7;USD;40;3.25;construction;contact@mckeebutlerandmorgan.com;+1-555-000-0000;MEA Office;true
9021;Garza, Miller and Aguilar;LATAM;Scaffolding;8197.06;USD;32;3.05;construction;contact@garzamillerandaguilar.com;+1-555-000-0000;LATAM Office;true
