Supplier ID,Name,Region,Material,Price per Unit (USD),Lead Time,Status,Rating
6001,"Avery, Hayes and Harris",MEA,Industrial Lubricants,9448.76,34 days,Active,4.0/5.0
6002,Moreno-Walton,MEA,Aluminum Sheets,9127.87,33 days,Inactive,2.5/5.0
6003,"Watts, Fowler and Ashley",NA,CNC Machine Parts,8144.61,39 days,Inactive,4.0/5.0
6004,House-Hernandez,APAC,Hydraulic Pumps,2283.63,17 days,Active,4.7/5.0
6005,Hurst-Moss,APAC,CNC Machine Parts,735.11,9 days,Pending,4.4/5.0
6006,Ramirez LLC,APAC,CNC Machine Parts,3588.36,35 days,Active,3.0/5.0
6007,Russo-Davila,LATAM,Aluminum Sheets,6030.28,39 days,Pending,4.8/5.0
6008,Carson-Martinez,LATAM,Industrial Lubricants,791.44,9 days,Active,3.9/5.0
6009,"Wilcox, Molina and Mcclure",EU,Hydraulic Pumps,3077.15,10 days,Active,3.1/5.0
6010,"Scott, Yang and Yang",LATAM,Industrial Lubricants,5751.25,34 days,Pending,2.9/5.0
6011,Harris-Jennings,MEA,Ball Bearings,2513.54,12 days,Inactive,3.1/5.0
6012,Lewis-Jones,EU,Aluminum Sheets,2761.1,5 days,Active,2.8/5.0
6013,Mora-Baker,EU,CNC Machine Parts,2295.46,22 days,Inactive,3.1/5.0
6014,"Carter, Pena and Lara",NA,Hydraulic Pumps,4976.84,24 days,Pending,3.4/5.0
6015,"Lee, Williams and Sutton",NA,Aluminum Sheets,7961.23,15 days,Active,3.0/5.0
6016,Soto LLC,EU,CNC Machine Parts,6175.79,25 days,Inactive,3.0/5.0
6017,Lewis-Horne,LATAM,Aluminum Sheets,7161.68,22 days,Inactive,3.3/5.0
6018,Walker PLC,APAC,Hydraulic Pumps,2693.37,25 days,Active,4.4/5.0
6019,Jacobs-Warner,NA,Aluminum Sheets,3455.16,8 days,Active,4.5/5.0
6020,"Williams, Silva and Butler",MEA,Hydraulic Pumps,2897.09,28 days,Inactive,3.7/5.0
6021,"Kirby, Allen and Garrison",LATAM,Industrial Lubricants,3700.57,40 days,Active,3.6/5.0
6022,Espinoza Inc,EU,Ball Bearings,2966.17,23 days,Inactive,2.6/5.0
