Supplier ID,Name,Region,Material,Price per Unit (USD),Lead Time,Status,Rating
8001,"Scott, Kelley and Kennedy",MEA,Shipping Containers,2982.88,5 days,Pending,3.9/5.0
8002,Hudson-Davis,EU,Forklifts,13168.9,14 days,Pending,3.9/5.0
8003,"Bernard, Jones and Torres",MEA,Forklifts,5579.44,12 days,Inactive,2.9/5.0
8004,Bender-Holland,APAC,Pallet Jacks,8423.98,33 days,Active,4.6/5.0
8005,Henderson-Campbell,LATAM,Barcode Scanners,11366.63,34 days,Pending,4.1/5.0
8006,"Thompson, Sexton and Garcia",APAC,Conveyor Belts,4423.75,11 days,Pending,4.6/5.0
8007,"Lee, Watson and Dixon",EU,Barcode Scanners,17032.36,17 days,Pending,3.3/5.0
8008,"Church, Rodriguez and Reid",LATAM,Pallet Jacks,13348.42,20 days,Pending,3.1/5.0
8009,Braun Group,APAC,Barcode Scanners,10829.8,19 days,Active,4.2/5.0
8010,Hurley PLC,EU,Shipping Containers,16556.45,36 days,Pending,3.9/5.0
8011,"Nielsen, Evans and Young",MEA,Conveyor Belts,16183.97,20 days,Inactive,3.9/5.0
8012,Moreno-Jones,MEA,Shipping Containers,5169.39,21 days,Pending,3.5/5.0
8013,Walker-Obrien,MEA,Conveyor Belts,8766.42,18 days,Active,4.0/5.0
8014,"Miller, Gonzalez and Alvarado",NA,Forklifts,6064.58,34 days,Pending,3.1/5.0
8015,"Dalton, Hall and Garrett",EU,Conveyor Belts,17857.51,32 days,Inactive,4.5/5.0
8016,Ray-Carroll,LATAM,Barcode Scanners,16054.02,12 days,Pending,3.1/5.0
8017,Costa LLC,EU,Conveyor Belts,14247.34,14 days,Inactive,3.9/5.0
8018,Sawyer-Williams,NA,Barcode Scanners,949.26,21 days,Active,2.8/5.0
8019,"Jensen, Harper and Long",MEA,Shipping Containers,19568.85,25 days,Active,2.9/5.0
8020,Gibbs Ltd,NA,Forklifts,10878.42,40 days,Active,3.7/5.0
8021,Mitchell-Hansen,APAC,Barcode Scanners,3554.69,36 days,Active,2.9/5.0
8022,Marks-Clark,NA,Shipping Containers,13937.12,33 days,Pending,2.9/5.0
8023,Martin Group,LATAM,Barcode Scanners,19779.91,32 days,Active,3.3/5.0
8024,Patrick Group,NA,Forklifts,13185.61,11 days,Active,3.9/5.0
8025,"Lopez, Shelton and Garcia",EU,Conveyor Belts,215.9,13 days,Pending,2.9/5.0
8026,"Moody, Moyer and Hall",LATAM,Shipping Containers,5918.12,38 days,Active,3.2/5.0
8027,"Shaw, Morgan and Johnson",MEA,Pallet Jacks,19167.34,26 days,Inactive,2.9/5.0
8028,Hall and Sons,MEA,Conveyor Belts,776.19,35 days,Pending,3.9/5.0
8029,Mullins Ltd,NA,Shipping Containers,17050.32,20 days,Pending,4.9/5.0
8030,Huang Ltd,EU,Conveyor Belts,1308.45,5 days,Inactive,4.6/5.0
8031,Bryant Ltd,APAC,Shipping Containers,13567.8,36 days,Active,4.5/5.0
8032,"Sutton, Black and Moore",APAC,Barcode Scanners,9759.68,9 days,Active,4.9/5.0
8033,Jordan Ltd,APAC,Shipping Containers,18364.13,39 days,Inactive,3.5/5.0
8034,Cole-Mccormick,APAC,Barcode Scanners,5608.3,40 days,Inactive,3.6/5.0
8035,Bennett Group,MEA,Shipping Containers,11886.68,18 days,Pending,4.9/5.0
8036,Crawford and Sons,NA,Forklifts,13150.55,35 days,Pending,2.6/5.0
8037,Lopez-Lloyd,EU,Barcode Scanners,12866.99,40 days,Pending,3.3/5.0
8038,Stephens-Barron,APAC,Barcode Scanners,19994.75,12 days,Inactive,3.0/5.0
8039,"Green, Warren and Walton",LATAM,Barcode Scanners,5963.05,40 days,Active,3.3/5.0
8040,"Cooper, Murphy and George",LATAM,Barcode Scanners,2218.87,22 days,Inactive,3.4/5.0
8041,"Morgan, Wang and Ford",APAC,Barcode Scanners,1887.01,8 days,Active,4.8/5.0
8042,Buchanan-Patterson,LATAM,Forklifts,19302.37,30 days,Pending,4.7/5.0
8043,Wood-Savage,EU,Barcode Scanners,7407.77,33 days,Inactive,2.7/5.0
8044,Miller and Sons,MEA,Shipping Containers,8430.85,7 days,Inactive,4.8/5.0
8045,Smith-Brown,LATAM,Forklifts,5726.69,12 days,Active,3.3/5.0
8046,Lawrence Group,MEA,Shipping Containers,1329.55,27 days,Inactive,4.6/5.0
8047,Porter and Sons,APAC,Forklifts,11615.89,34 days,Pending,3.6/5.0
8048,Scott Inc,NA,Barcode Scanners,10661.52,25 days,Active,4.1/5.0
8049,Thompson Group,NA,Barcode Scanners,16685.12,39 days,Pending,4.8/5.0
8050,Hughes-Harding,EU,Shipping Containers,2023.39,17 days,Inactive,4.6/5.0
8051,Flores-Larsen,MEA,Barcode Scanners,15261.75,11 days,Inactive,2.7/5.0
8052,"Ayers, Smith and Ingram",NA,Pallet Jacks,15655.6,22 days,Active,3.7/5.0
8053,Mccormick-Gutierrez,APAC,Barcode Scanners,16057.14,26 days,Active,4.2/5.0
8054,Burns Ltd,APAC,Shipping Containers,3729.0,7 days,Inactive,3.4/5.0
8055,Johns Inc,APAC,Pallet Jacks,884.81,23 days,Pending,3.5/5.0
8056,Butler and Sons,NA,Barcode Scanners,4930.68,9 days,Pending,3.1/5.0
8057,Chambers Ltd,EU,Forklifts,4735.57,18 days,Inactive,4.2/5.0
8058,Acosta-Rivera,MEA,Shipping Containers,962.08,7 days,Active,3.8/5.0
8059,Franklin Inc,NA,Barcode Scanners,5768.45,26 days,Inactive,3.0/5.0
8060,"Smith, Kerr and Miller",APAC,Forklifts,3973.24,17 days,Inactive,3.5/5.0
8061,Chavez Inc,EU,Shipping Containers,17661.6,16 days,Pending,3.9/5.0
8062,"Suarez, Rose and Hansen",NA,Forklifts,5165.66,14 days,Inactive,3.8/5.0
8063,"Williams, Hernandez and Hogan",EU,Barcode Scanners,158.4,20 days,Pending,4.0/5.0
8064,Patterson and Sons,APAC,Conveyor Belts,4741.74,22 days,Inactive,4.6/5.0
8065,Rich Group,NA,Shipping Containers,8659.72,18 days,Active,3.2/5.0
8066,Henry Group,LATAM,Pallet Jacks,7883.95,22 days,Active,2.7/5.0
8067,Dawson-Kane,APAC,Pallet Jacks,15763.59,8 days,Inactive,4.2/5.0
8068,"Nichols, Bass and Brewer",LATAM,Forklifts,2872.5,28 days,Inactive,4.4/5.0
8069,"Simmons, Olson and Banks",LATAM,Conveyor Belts,6359.52,23 days,Active,3.6/5.0
8070,May-Davis,APAC,Shipping Containers,8358.37,38 days,Active,2.9/5.0
8071,"Myers, Moore and Romero",LATAM,Shipping Containers,1609.29,11 days,Pending,4.7/5.0
8072,"Lopez, Riley and King",LATAM,Barcode Scanners,10009.04,23 days,Active,4.6/5.0
8073,"Manning, Dominguez and Lee",MEA,Conveyor Belts,14177.6,17 days,Inactive,4.3/5.0
8074,Morales-Flores,EU,Barcode Scanners,4288.61,32 days,Inactive,2.9/5.0
8075,Dunn-English,NA,Forklifts,1352.9,39 days,Inactive,4.6/5.0
8076,"Fernandez, Perry and Morgan",NA,Forklifts,16399.93,29 days,Active,3.9/5.0
8077,Vargas-Williams,LATAM,Conveyor Belts,4345.93,9 days,Inactive,4.0/5.0
8078,Watkins-Wells,MEA,Conveyor Belts,10836.44,32 days,Pending,2.7/5.0
8079,Montoya LLC,MEA,Pallet Jacks,17513.03,27 days,Inactive,3.4/5.0
8080,Lewis-Jones,APAC,Shipping Containers,14483.48,8 days,Pending,3.7/5.0
8081,"Gray, Young and Miller",LATAM,Pallet Jacks,8883.56,12 days,Inactive,4.0/5.0
8082,Malone Ltd,EU,Conveyor Belts,17285.48,40 days,Active,3.0/5.0
8083,Green Ltd,APAC,Barcode Scanners,19083.1,32 days,Inactive,3.5/5.0
8084,Hopkins-Payne,EU,Pallet Jacks,10341.01,30 days,Pending,4.0/5.0
8085,"Mckinney, Webb and Gardner",APAC,Conveyor Belts,1829.75,17 days,Inactive,4.4/5.0
8086,Espinoza-Perkins,APAC,Pallet Jacks,2750.03,20 days,Active,4.6/5.0
8087,"Rodriguez, Griffin and Matthews",MEA,Conveyor Belts,3293.57,31 days,Inactive,3.9/5.0
8088,"Stephens, Miller and Glover",EU,Forklifts,19144.25,38 days,Active,3.9/5.0
8089,Howard Ltd,MEA,Pallet Jacks,11079.27,38 days,Pending,3.1/5.0
8090,Vargas-Smith,NA,Shipping Containers,2520.99,7 days,Pending,3.0/5.0
8091,Alexander Ltd,LATAM,Barcode Scanners,12646.94,20 days,Active,3.0/5.0
8092,Sanchez PLC,LATAM,Forklifts,19248.71,33 days,Pending,3.3/5.0
8093,"Townsend, Hines and Matthews",NA,Conveyor Belts,5554.96,30 days,Active,4.6/5.0
8094,"Beltran, George and Franklin",NA,Barcode Scanners,14382.56,21 days,Active,3.6/5.0
8095,"Larson, Prince and Andrade",APAC,Shipping Containers,742.42,29 days,Inactive,2.7/5.0
8096,"Turner, Cooper and Garcia",NA,Conveyor Belts,4800.78,33 days,Inactive,4.6/5.0
8097,"Clark, Hoffman and Merritt",NA,Conveyor Belts,15806.18,38 days,Inactive,3.1/5.0
8098,Patterson Ltd,APAC,Barcode Scanners,18934.54,7 days,Inactive,4.2/5.0
8099,Webster PLC,MEA,Pallet Jacks,3291.3,6 days,Pending,2.7/5.0
8100,"Edwards, Sanchez and Henry",EU,Pallet Jacks,13431.57,16 days,Pending,2.9/5.0
8101,"Porter, Bishop and Thompson",MEA,Conveyor Belts,8954.94,34 days,Active,2.8/5.0
8102,Jefferson Group,APAC,Conveyor Belts,16453.25,32 days,Pending,4.9/5.0
8103,Thomas Inc,LATAM,Pallet Jacks,5742.03,20 days,Inactive,4.9/5.0
8104,"Thomas, Hoover and Wilkins",APAC,Conveyor Belts,17770.15,9 days,Pending,3.2/5.0
8105,"Lambert, Woods and Gonzales",APAC,Forklifts,12709.6,28 days,Active,4.3/5.0
8106,Blair Ltd,LATAM,Shipping Containers,13832.99,38 days,Active,4.2/5.0
8107,Thomas PLC,APAC,Conveyor Belts,13760.72,27 days,Active,3.0/5.0
